id,name,era,start_year,end_year,region,aliases
"achaemenid-successors","Atropatene","ancient","-321","226","Iran",""
"armenian-kingdom","Kingdom of Armenia","ancient","-190","428","Caucasus",""
"sophene","Kingdom of Sophene","ancient","-260","-94","Caucasus",""
"commagene","Kingdom of Commagene","ancient","-163","72","Anatolia",""
"cilician-armenia","Armenian Kingdom of Cilicia","medieval","1080","1375","Anatolia",""
"osroene","Kingdom of Osroene","ancient","-132","244","Mesopotamia",""
"edessa","County of Edessa","medieval","1098","1144","Levant",""
"antioch","Principality of Antioch","medieval","1098","1268","Levant",""
"tripoli-crusader","County of Tripoli","medieval","1102","1289","Levant",""
"jerusalem-crusader","Kingdom of Jerusalem","medieval","1099","1291","Levant",""
"cyprus-kingdom","Kingdom of Cyprus","medieval","1192","1489","Eastern Mediterranean",""
"rustamid","Rustamid Imamate","medieval","777","909","North Africa",""
"idrisid","Idrisid dynasty","medieval","788","974","North Africa",""
"aghlabid","Aghlabid Emirate","medieval","800","909","North Africa",""
"fatimid","Fatimid Caliphate","medieval","909","1171","North Africa",""
"zengid","Zengid dynasty","medieval","1127","1250","Middle East",""
"artuqid","Artuqid dynasty","medieval","1102","1409","Anatolia",""
"karamanids","Karamanids","medieval","1250","1487","Anatolia",""
"danishmends","Danishmendids","medieval","1071","1178","Anatolia",""
"jalayirid","Jalayirid Sultanate","medieval","1335","1432","Mesopotamia",""
"kara-koyunlu","Kara Koyunlu","medieval","1374","1468","Iran","Black Sheep Turkmen"
"aq-qoyunlu","Aq Qoyunlu","medieval","1378","1501","Iran","White Sheep Turkmen"
"georgia-bagratid","Kingdom of Georgia","medieval","1008","1490","Caucasus",""
"bagratid-armenia","Bagratid Kingdom of Armenia","medieval","885","1045","Caucasus",""
"abkhazia","Kingdom of Abkhazia","medieval","778","1008","Caucasus",""
"shirvan","Shirvanshah state","medieval","861","1538","Caucasus",""
"khazar","Khazar Khaganate","medieval","650","969","Pontic steppe",""
"pecheneg","Pecheneg confederation","medieval","800","1091","Eastern Europe",""
"cumans","Cuman-Kipchak confederation","medieval","1050","1241","Eurasian steppe",""
"volga-bulgaria","Volga Bulgaria","medieval","700","1236","Eastern Europe",""
"first-bulgarian","First Bulgarian Empire","medieval","681","1018","Balkans",""
"second-bulgarian","Second Bulgarian Empire","medieval","1185","1396","Balkans",""
"serbian-medieval","Medieval Serbian state","medieval","780","1459","Balkans",""
"serbian-empire","Serbian Empire","medieval","1346","1371","Balkans",""
"bosnia-kingdom","Kingdom of Bosnia","medieval","1377","1463","Balkans",""
"croatia-medieval","Kingdom of Croatia","medieval","925","1102","Balkans",""
"hungary-kingdom","Kingdom of Hungary","medieval","1000","1918","Central Europe",""
