chapter,year,shot,duration_seconds,visual
c01,1936,1,50,opening title and date
c01,1936,2,50,animated historical map
c01,1936,3,50,chronological timeline
c01,1936,4,50,original archival-style still
c01,1936,5,50,statistical or geographic graph
c01,1936,6,50,chapter recap map
c02,1938,1,60,opening title and date
c02,1938,2,60,animated historical map
c02,1938,3,60,chronological timeline
c02,1938,4,60,original archival-style still
c02,1938,5,60,statistical or geographic graph
c02,1938,6,60,chapter recap map
c03,1939,1,60,opening title and date
c03,1939,2,60,animated historical map
c03,1939,3,60,chronological timeline
c03,1939,4,60,original archival-style still
c03,1939,5,60,statistical or geographic graph
c03,1939,6,60,chapter recap map
c04,1940,1,70,opening title and date
c04,1940,2,70,animated historical map
c04,1940,3,70,chronological timeline
c04,1940,4,70,original archival-style still
c04,1940,5,70,statistical or geographic graph
c04,1940,6,70,chapter recap map
c05,1941,1,70,opening title and date
c05,1941,2,70,animated historical map
c05,1941,3,70,chronological timeline
c05,1941,4,70,original archival-style still
c05,1941,5,70,statistical or geographic graph
c05,1941,6,70,chapter recap map
c06,1942,1,70,opening title and date
c06,1942,2,70,animated historical map
c06,1942,3,70,chronological timeline
c06,1942,4,70,original archival-style still
c06,1942,5,70,statistical or geographic graph
c06,1942,6,70,chapter recap map
c07,1943,1,60,opening title and date
c07,1943,2,60,animated historical map
c07,1943,3,60,chronological timeline
c07,1943,4,60,original archival-style still
c07,1943,5,60,statistical or geographic graph
c07,1943,6,60,chapter recap map
c08,1944,1,60,opening title and date
c08,1944,2,60,animated historical map
c08,1944,3,60,chronological timeline
c08,1944,4,60,original archival-style still
c08,1944,5,60,statistical or geographic graph
c08,1944,6,60,chapter recap map
c09,1945,1,60,opening title and date
c09,1945,2,60,animated historical map
c09,1945,3,60,chronological timeline
c09,1945,4,60,original archival-style still
c09,1945,5,60,statistical or geographic graph
c09,1945,6,60,chapter recap map
c10,1945,1,40,opening title and date
c10,1945,2,40,animated historical map
c10,1945,3,40,chronological timeline
c10,1945,4,40,original archival-style still
c10,1945,5,40,statistical or geographic graph
c10,1945,6,40,chapter recap map
